Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Bedfordshire Police,Bedfordshire,1,2024,9447,13.05,4,8168,86.5,760,8,519,5.5
Cambridgeshire Constabulary,Cambridgeshire,1,2024,11509,11.45,4,9736,84.6,1287,11.2,486,4.2
Cheshire Constabulary,Cheshire,1,2024,10952,8.19,5,9937,90.7,836,7.6,179,1.6
Cleveland Police,Cleveland,1,2024,7812,7.43,4,6897,88.3,812,10.4,103,1.3
Cumbria Constabulary,Cumbria,1,2024,5360,7.73,6,4839,90.3,505,9.4,16,0.3
Derbyshire Constabulary,Derbyshire,1,2024,12289,7.06,6,10303,83.8,1978,16.1,8,0.1
Devon & Cornwall Police,Devon-and-Cornwall,1,2024,21261,10.43,8,17559,82.6,3337,15.7,365,1.7
Dorset Police,Dorset,1,2024,10185,11.34,8,7671,75.3,2312,22.7,202,2
Durham Constabulary,Durham,1,2024,7089,9.56,7,6032,85.1,978,13.8,79,1.1
Dyfed-Powys Police,Dyfed-Powys,1,2024,4816,8.46,4,4021,83.5,718,14.9,77,1.6
Essex Police,Essex,1,2024,24110,14.14,5,19299,80,3415,14.2,1396,5.8
Gloucestershire Constabulary,Gloucestershire,1,2024,7052,8.63,6,6001,85.1,982,13.9,69,1
Greater Manchester Police,Greater-Manchester,1,2024,41774,5.55,4,39787,95.2,1756,4.2,231,0.6
Gwent Police,Gwent,1,2024,6714,5.96,5,6291,93.7,409,6.1,14,0.2
Hampshire Constabulary,Hampshire,1,2024,22357,9.11,7,19770,88.4,2378,10.6,209,0.9
Hertfordshire Constabulary,Hertfordshire,1,2024,13848,9.18,5,11779,85.1,1809,13.1,260,1.9
Humberside Police,Humberside,1,2024,11560,6.29,5,10596,91.7,922,8,42,0.4
Kent Police,Kent,1,2024,24361,6.33,5,22660,93,1554,6.4,147,0.6
Lancashire Constabulary,Lancashire,1,2024,20776,9.2,7,17693,85.2,2982,14.4,101,0.5
Leicestershire Police,Leicestershire,1,2024,16135,8.59,4,14814,91.8,914,5.7,407,2.5
Lincolnshire Police,Lincolnshire,1,2024,8081,5.34,4,7556,93.5,487,6,38,0.5
Merseyside Police,Merseyside,1,2024,21588,6.32,4,19838,91.9,1527,7.1,223,1
Metropolitan Police Service,Metropolitan,1,2024,174023,10.28,6,151335,87,18707,10.7,3981,2.3
Norfolk Constabulary,Norfolk,1,2024,9651,6.66,5,8682,90,925,9.6,44,0.5
North Wales Police,North-Wales,1,2024,8030,7.34,4,6771,84.3,1176,14.6,83,1
North Yorkshire Police,North-Yorkshire,1,2024,7747,10.21,7,6527,84.3,1123,14.5,97,1.3
Northamptonshire Police,Northamptonshire,1,2024,10685,6.2,4,9574,89.6,1075,10.1,36,0.3
Northumbria Police,Northumbria,1,2024,20539,9.94,7,17691,86.1,2480,12.1,368,1.8
Nottinghamshire Police,Nottinghamshire,1,2024,15929,7.99,5,14246,89.4,1526,9.6,157,1
Police Scotland,Scotland,1,2024,54237,8.58,5,47892,88.3,5567,10.3,778,1.4
Police Service of Northern Ireland,Northern-Ireland,1,2024,16704,14.23,7,13202,79,2904,17.4,598,3.6
South Wales Police,South-Wales,1,2024,17168,9.44,4,14587,85,2048,11.9,533,3.1
South Yorkshire Police,South-Yorkshire,1,2024,20687,7.07,5,18619,90,1950,9.4,118,0.6
Staffordshire Police,Staffordshire,1,2024,16384,9.27,4,14719,89.8,1176,7.2,489,3
Suffolk Constabulary,Suffolk,1,2024,8624,9.97,5,7904,91.7,486,5.6,234,2.7
Surrey Police,Surrey,1,2024,12071,7.18,5,11214,92.9,739,6.1,118,1
Sussex Police,Sussex,1,2024,20054,6.41,5,19198,95.7,790,3.9,66,0.3
Thames Valley Police,Thames-Valley,1,2024,28927,11.56,6,23805,82.3,4304,14.9,818,2.8
Warwickshire Police,Warwickshire,1,2024,7744,9.61,7,6701,86.5,983,12.7,60,0.8
West Mercia Police,West-Mercia,1,2024,13162,16.07,8,10125,76.9,2421,18.4,616,4.7
West Midlands police,West-Midlands,1,2024,59047,7.64,5,53583,90.7,5036,8.5,428,0.7
West Yorkshire Police,West-Yorkshire,1,2024,35340,5.22,4,32945,93.2,2324,6.6,71,0.2
Wiltshire Police,Wiltshire,1,2024,7904,14.09,5,6116,77.4,1368,17.3,420,5.3
Avon and Somerset Constabulary,Avon-and-Somerset,2,2024,23142,14.46,4,18435,79.7,3317,14.3,1390,6
Bedfordshire Police,Bedfordshire,2,2024,9031,11.07,4,7970,88.3,651,7.2,410,4.5
Cambridgeshire Constabulary,Cambridgeshire,2,2024,10983,8.07,4,9792,89.2,962,8.8,229,2.1
Cheshire Constabulary,Cheshire,2,2024,10375,8.49,6,9349,90.1,893,8.6,133,1.3
Cleveland Police,Cleveland,2,2024,8072,7.22,5,7012,86.9,993,12.3,67,0.8
Cumbria Constabulary,Cumbria,2,2024,4774,7.91,6,4308,90.2,450,9.4,16,0.3
Derbyshire Constabulary,Derbyshire,2,2024,12206,6.51,6,10716,87.8,1481,12.1,9,0.1
Devon & Cornwall Police,Devon-and-Cornwall,2,2024,21224,10.99,8,17496,82.4,3230,15.2,498,2.3
Dorset Police,Dorset,2,2024,9258,10.41,8,7111,76.8,2025,21.9,122,1.3
Durham Constabulary,Durham,2,2024,7104,10.25,7,5863,82.5,1123,15.8,118,1.7
Dyfed-Powys Police,Dyfed-Powys,2,2024,4569,9.87,4,3677,80.5,776,17,116,2.5
Essex Police,Essex,2,2024,22634,12.85,4,18022,79.6,3411,15.1,1201,5.3
Gloucestershire Constabulary,Gloucestershire,2,2024,6585,8.8,6,5495,83.4,1035,15.7,55,0.8
Greater Manchester Police,Greater-Manchester,2,2024,41285,6.95,4,37577,91,3221,7.8,487,1.2
Gwent Police,Gwent,2,2024,6515,6.01,5,6131,94.1,345,5.3,39,0.6
Hampshire Constabulary,Hampshire,2,2024,21082,9.7,7,18308,86.8,2511,11.9,263,1.2
Hertfordshire Constabulary,Hertfordshire,2,2024,13381,9.8,5,11228,83.9,1855,13.9,298,2.2
Humberside Police,Humberside,2,2024,11657,6.83,5,10532,90.3,1042,8.9,83,0.7
Kent Police,Kent,2,2024,23659,5.78,4,22293,94.2,1274,5.4,92,0.4
Lancashire Constabulary,Lancashire,2,2024,20210,9.41,8,17228,85.2,2863,14.2,119,0.6
Leicestershire Police,Leicestershire,2,2024,14971,11.88,4,13302,88.9,1000,6.7,669,4.5
Lincolnshire Police,Lincolnshire,2,2024,7870,5.42,4,7377,93.7,456,5.8,37,0.5
Merseyside Police,Merseyside,2,2024,21215,7.2,4,18834,88.8,2098,9.9,283,1.3
Metropolitan Police Service,Metropolitan,2,2024,173090,11.43,6,146811,84.8,21041,12.2,5238,3
Norfolk Constabulary,Norfolk,2,2024,9082,7.27,5,8004,88.1,1013,11.2,65,0.7
North Wales Police,North-Wales,2,2024,7642,7.19,4,6434,84.2,1138,14.9,70,0.9
North Yorkshire Police,North-Yorkshire,2,2024,8199,9.79,7,6836,83.4,1311,16,52,0.6
Northamptonshire Police,Northamptonshire,2,2024,10705,6.25,4,9567,89.4,1105,10.3,33,0.3
Northumbria Police,Northumbria,2,2024,20368,11.02,7,17331,85.1,2532,12.4,505,2.5
Nottinghamshire Police,Nottinghamshire,2,2024,15424,7.48,5,14030,91,1280,8.3,114,0.7
Police Scotland,Scotland,2,2024,54461,9.19,5,46890,86.1,6633,12.2,938,1.7
Police Service of Northern Ireland,Northern-Ireland,2,2024,15671,8.95,7,12691,81,2786,17.8,194,1.2
South Wales Police,South-Wales,2,2024,16949,8.07,4,14911,88,1650,9.7,388,2.3
South Yorkshire Police,South-Yorkshire,2,2024,20744,8.33,5,18004,86.8,2507,12.1,233,1.1
Staffordshire Police,Staffordshire,2,2024,16676,10.2,5,14725,88.3,1376,8.3,575,3.4
Suffolk Constabulary,Suffolk,2,2024,8097,10.53,5,7203,89,630,7.8,264,3.3
Surrey Police,Surrey,2,2024,11761,5.99,5,11225,95.4,503,4.3,33,0.3
Sussex Police,Sussex,2,2024,19596,7.44,5,18481,94.3,897,4.6,218,1.1
Thames Valley Police,Thames-Valley,2,2024,27154,9.73,6,23386,86.1,3347,12.3,421,1.6
Warwickshire Police,Warwickshire,2,2024,7302,10.38,7,6237,85.4,949,13,116,1.6
West Mercia Police,West-Mercia,2,2024,13008,16.21,8,9943,76.4,2345,18,720,5.5
West Midlands police,West-Midlands,2,2024,57666,7.09,5,53021,91.9,4378,7.6,267,0.5
West Yorkshire Police,West-Yorkshire,2,2024,35618,5.82,4,32612,91.6,2858,8,148,0.4
Wiltshire Police,Wiltshire,2,2024,7414,12.98,5,6004,81,1060,14.3,350,4.7
Avon and Somerset Constabulary,Avon-and-Somerset,3,2024,25473,14.32,4,20285,79.6,3669,14.4,1519,6
Bedfordshire Police,Bedfordshire,3,2024,9748,8.12,4,8964,92,545,5.6,239,2.5
Cambridgeshire Constabulary,Cambridgeshire,3,2024,11766,7.75,4,10563,89.8,983,8.4,220,1.9
Cheshire Constabulary,Cheshire,3,2024,11384,8.08,5,10253,90.1,965,8.5,166,1.5
Cleveland Police,Cleveland,3,2024,9068,7.25,5,7833,86.4,1177,13,58,0.6
Cumbria Constabulary,Cumbria,3,2024,5307,7.99,6,4822,90.9,459,8.6,26,0.5
Derbyshire Constabulary,Derbyshire,3,2024,13651,7.09,6,11316,82.9,2331,17.1,4,0
Devon & Cornwall Police,Devon-and-Cornwall,3,2024,22982,10.35,8,19376,84.3,3197,13.9,409,1.8
Dorset Police,Dorset,3,2024,10288,10.09,7,8723,84.8,1413,13.7,152,1.5
Durham Constabulary,Durham,3,2024,7915,10.96,7,6514,82.3,1237,15.6,164,2.1
Dyfed-Powys Police,Dyfed-Powys,3,2024,5019,11.42,4,3870,77.1,971,19.3,178,3.5
Essex Police,Essex,3,2024,25483,11.89,4,20507,80.5,3827,15,1149,4.5
Gloucestershire Constabulary,Gloucestershire,3,2024,7409,9.6,6,5997,80.9,1320,17.8,92,1.2
Greater Manchester Police,Greater-Manchester,3,2024,44691,7.97,4,39754,89,4155,9.3,782,1.7
Gwent Police,Gwent,3,2024,7346,7.14,4,6744,91.8,498,6.8,104,1.4
Hampshire Constabulary,Hampshire,3,2024,22822,9.65,7,19888,87.1,2652,11.6,282,1.2
Hertfordshire Constabulary,Hertfordshire,3,2024,14094,8.08,5,12344,87.6,1586,11.3,164,1.2
Humberside Police,Humberside,3,2024,12616,6.66,5,11416,90.5,1134,9,66,0.5
Kent Police,Kent,3,2024,26880,5.45,4,25321,94.2,1467,5.5,92,0.3
Lancashire Constabulary,Lancashire,3,2024,22144,9.2,7,18959,85.6,3062,13.8,123,0.6
Leicestershire Police,Leicestershire,3,2024,15947,9.45,4,14511,91,953,6,483,3
Lincolnshire Police,Lincolnshire,3,2024,8873,5.86,4,8207,92.5,601,6.8,65,0.7
Merseyside Police,Merseyside,3,2024,22245,7.42,4,19651,88.3,2265,10.2,329,1.5
Metropolitan Police Service,Metropolitan,3,2024,184642,10.92,6,159154,86.2,20519,11.1,4969,2.7
Norfolk Constabulary,Norfolk,3,2024,9646,6.48,5,8770,90.9,850,8.8,26,0.3
North Wales Police,North-Wales,3,2024,8262,6.6,4,7195,87.1,1016,12.3,51,0.6
North Yorkshire Police,North-Yorkshire,3,2024,8295,9.86,7,6801,82,1446,17.4,48,0.6
Northamptonshire Police,Northamptonshire,3,2024,11439,6.1,4,10408,91,989,8.6,42,0.4
Northumbria Police,Northumbria,3,2024,22028,11.78,6,19071,86.6,2197,10,760,3.5
Nottinghamshire Police,Nottinghamshire,3,2024,16736,9.02,5,14551,86.9,1925,11.5,260,1.6
Police Scotland,Scotland,3,2024,60979,10.1,5,50772,83.3,8886,14.6,1321,2.2
Police Service of Northern Ireland,Northern-Ireland,3,2024,17334,8.73,6,14200,81.9,2940,17,194,1.1
South Wales Police,South-Wales,3,2024,18493,9.58,4,15742,85.1,2181,11.8,570,3.1
South Yorkshire Police,South-Yorkshire,3,2024,21537,8.27,5,18334,85.1,2998,13.9,205,1
Staffordshire Police,Staffordshire,3,2024,17766,11.87,5,15220,85.7,1730,9.7,816,4.6
Suffolk Constabulary,Suffolk,3,2024,8669,9.47,5,7823,90.2,623,7.2,223,2.6
Surrey Police,Surrey,3,2024,12377,6.56,5,11589,93.6,730,5.9,58,0.5
Sussex Police,Sussex,3,2024,22403,6.81,5,21220,94.7,1026,4.6,157,0.7
Thames Valley Police,Thames-Valley,3,2024,29552,11.19,7,25049,84.8,3667,12.4,836,2.8
Warwickshire Police,Warwickshire,3,2024,7532,9.19,7,6554,87,935,12.4,43,0.6
West Mercia Police,West-Mercia,3,2024,13983,14.54,8,10800,77.2,2563,18.3,620,4.4
West Midlands police,West-Midlands,3,2024,61353,7.41,6,55638,90.7,5413,8.8,302,0.5
West Yorkshire Police,West-Yorkshire,3,2024,39716,6.15,4,36566,92.1,2937,7.4,213,0.5
Wiltshire Police,Wiltshire,3,2024,8019,15.39,5,6214,77.5,1286,16,519,6.5
Avon and Somerset Constabulary,Avon-and-Somerset,4,2024,25202,14.43,4,19522,77.5,4165,16.5,1515,6
Bedfordshire Police,Bedfordshire,4,2024,9353,8.82,4,8435,90.2,638,6.8,280,3
Cambridgeshire Constabulary,Cambridgeshire,4,2024,11301,6.44,4,10487,92.8,683,6,131,1.2
Cheshire Constabulary,Cheshire,4,2024,11539,7.67,5,10388,90,1005,8.7,146,1.3
Cleveland Police,Cleveland,4,2024,8730,7.37,5,7479,85.7,1189,13.6,62,0.7
Cumbria Constabulary,Cumbria,4,2024,5035,7.7,6,4543,90.2,478,9.5,14,0.3
Derbyshire Constabulary,Derbyshire,4,2024,13522,7.24,6,11044,81.7,2465,18.2,13,0.1
Devon & Cornwall Police,Devon-and-Cornwall,4,2024,22228,9.68,8,19035,85.6,2926,13.2,267,1.2
Dorset Police,Dorset,4,2024,9323,10.31,7,8045,86.3,1113,11.9,165,1.8
Durham Constabulary,Durham,4,2024,7845,12.09,8,6242,79.6,1383,17.6,220,2.8
Dyfed-Powys Police,Dyfed-Powys,4,2024,5130,13.01,5,3745,73,1153,22.5,232,4.5
Essex Police,Essex,4,2024,23782,11.35,4,18902,79.5,3869,16.3,1011,4.3
Gloucestershire Constabulary,Gloucestershire,4,2024,7068,10.19,6,5549,78.5,1401,19.8,118,1.7
Greater Manchester Police,Greater-Manchester,4,2024,45729,7.94,4,41251,90.2,3599,7.9,879,1.9
Gwent Police,Gwent,4,2024,7071,6.18,4,6618,93.6,392,5.5,61,0.9
Hampshire Constabulary,Hampshire,4,2024,21255,9.19,7,18722,88.1,2340,11,193,0.9
Hertfordshire Constabulary,Hertfordshire,4,2024,14015,9.23,5,11899,84.9,1864,13.3,252,1.8
Humberside Police,Humberside,4,2024,12052,6.28,5,11046,91.7,962,8,44,0.4
Kent Police,Kent,4,2024,25455,5.62,4,23934,94,1389,5.5,132,0.5
Lancashire Constabulary,Lancashire,4,2024,22228,8.5,7,19742,88.8,2345,10.5,141,0.6
Leicestershire Police,Leicestershire,4,2024,14843,4.93,4,14318,96.5,468,3.2,57,0.4
Lincolnshire Police,Lincolnshire,4,2024,8133,5,3,7693,94.6,400,4.9,40,0.5
Merseyside Police,Merseyside,4,2024,21693,6.82,4,19498,89.9,1917,8.8,278,1.3
Metropolitan Police Service,Metropolitan,4,2024,176118,10.91,6,151191,85.8,20419,11.6,4508,2.6
Norfolk Constabulary,Norfolk,4,2024,9598,6.93,5,8677,90.4,867,9,54,0.6
North Wales Police,North-Wales,4,2024,8406,7.12,4,7037,83.7,1309,15.6,60,0.7
North Yorkshire Police,North-Yorkshire,4,2024,8879,10.19,7,7254,81.7,1550,17.5,75,0.8
Northamptonshire Police,Northamptonshire,4,2024,10393,5.5,4,9632,92.7,749,7.2,12,0.1
Northumbria Police,Northumbria,4,2024,21920,11.23,6,19132,87.3,2060,9.4,728,3.3
Nottinghamshire Police,Nottinghamshire,4,2024,16723,8.94,5,14519,86.8,1941,11.6,263,1.6
Police Scotland,Scotland,4,2024,58592,10.55,6,47836,81.6,9366,16,1390,2.4
Police Service of Northern Ireland,Northern-Ireland,4,2024,17301,8.98,6,14109,81.6,3001,17.3,191,1.1
South Wales Police,South-Wales,4,2024,17380,6.94,4,15589,89.7,1550,8.9,241,1.4
South Yorkshire Police,South-Yorkshire,4,2024,20821,7.47,5,18114,87,2596,12.5,111,0.5
Staffordshire Police,Staffordshire,4,2024,17339,13.48,5,14770,85.2,1562,9,1007,5.8
Suffolk Constabulary,Suffolk,4,2024,8370,8.39,5,7641,91.3,566,6.8,163,1.9
Surrey Police,Surrey,4,2024,11976,6.81,5,11094,92.6,805,6.7,77,0.6
Sussex Police,Sussex,4,2024,21178,7.04,5,19830,93.6,1136,5.4,212,1
Thames Valley Police,Thames-Valley,4,2024,28232,10.46,7,24055,85.2,3663,13,514,1.8
Warwickshire Police,Warwickshire,4,2024,7648,9.24,7,6642,86.8,951,12.4,55,0.7
West Mercia Police,West-Mercia,4,2024,13439,13.9,8,10452,77.8,2451,18.2,536,4
West Midlands police,West-Midlands,4,2024,59674,7.62,6,53679,90,5625,9.4,370,0.6
West Yorkshire Police,West-Yorkshire,4,2024,38046,6.14,4,34572,90.9,3302,8.7,172,0.5
Wiltshire Police,Wiltshire,4,2024,7612,13.22,5,6167,81,1064,14,381,5
Avon and Somerset Constabulary,Avon-and-Somerset,5,2024,27144,12.64,4,21717,80,4101,15.1,1326,4.9
Bedfordshire Police,Bedfordshire,5,2024,10687,12.57,4,9205,86.1,901,8.4,581,5.4
Cambridgeshire Constabulary,Cambridgeshire,5,2024,12850,7.31,4,11606,90.3,1052,8.2,192,1.5
Cheshire Constabulary,Cheshire,5,2024,13013,8.5,5,11331,87.1,1467,11.3,215,1.7
Cleveland Police,Cleveland,5,2024,10342,8.7,5,8500,82.2,1725,16.7,117,1.1
Cumbria Constabulary,Cumbria,5,2024,6670,8.52,7,5764,86.4,873,13.1,33,0.5
Derbyshire Constabulary,Derbyshire,5,2024,14965,7.51,6,11889,79.4,3062,20.5,14,0.1
Devon & Cornwall Police,Devon-and-Cornwall,5,2024,26572,10.43,8,22330,84,3786,14.2,456,1.7
Dorset Police,Dorset,5,2024,11036,11.29,7,9407,85.2,1356,12.3,273,2.5
Durham Constabulary,Durham,5,2024,8689,14.75,8,6566,75.6,1711,19.7,412,4.7
Dyfed-Powys Police,Dyfed-Powys,5,2024,5702,12.09,4,4388,77,1088,19.1,226,4
Essex Police,Essex,5,2024,26920,12.67,4,20812,77.3,4778,17.7,1330,4.9
Gloucestershire Constabulary,Gloucestershire,5,2024,7773,8.94,6,6174,79.4,1554,20,45,0.6
Greater Manchester Police,Greater-Manchester,5,2024,52498,8.57,4,46073,87.8,5257,10,1168,2.2
Gwent Police,Gwent,5,2024,7991,6.49,4,7403,92.6,522,6.5,66,0.8
Hampshire Constabulary,Hampshire,5,2024,25353,11.07,7,19956,78.7,4970,19.6,427,1.7
Hertfordshire Constabulary,Hertfordshire,5,2024,15865,11.04,5,12836,80.9,2577,16.2,452,2.8
Humberside Police,Humberside,5,2024,13651,6.17,5,12608,92.4,999,7.3,44,0.3
Kent Police,Kent,5,2024,28415,5.94,4,26426,93,1811,6.4,178,0.6
Lancashire Constabulary,Lancashire,5,2024,25870,9.68,7,22189,85.8,3349,12.9,332,1.3
Leicestershire Police,Leicestershire,5,2024,16278,6.77,4,15288,93.9,743,4.6,247,1.5
Lincolnshire Police,Lincolnshire,5,2024,9817,5.72,3,8988,91.6,770,7.8,59,0.6
Merseyside Police,Merseyside,5,2024,24056,7,4,21363,88.8,2398,10,295,1.2
Metropolitan Police Service,Metropolitan,5,2024,196867,12.05,6,163466,83,26791,13.6,6610,3.4
Norfolk Constabulary,Norfolk,5,2024,11017,6.62,5,9962,90.4,1019,9.2,36,0.3
North Wales Police,North-Wales,5,2024,9813,7.6,4,8181,83.4,1525,15.5,107,1.1
North Yorkshire Police,North-Yorkshire,5,2024,9938,10.38,7,8080,81.3,1769,17.8,89,0.9
Northamptonshire Police,Northamptonshire,5,2024,12459,5.92,4,11253,90.3,1181,9.5,25,0.2
Northumbria Police,Northumbria,5,2024,23988,10.48,6,21003,87.6,2362,9.8,623,2.6
Nottinghamshire Police,Nottinghamshire,5,2024,18396,8.81,5,15913,86.5,2226,12.1,257,1.4
Police Scotland,Scotland,5,2024,68529,12.12,6,53388,77.9,12722,18.6,2419,3.5
Police Service of Northern Ireland,Northern-Ireland,5,2024,20440,9.89,6,16484,80.6,3588,17.6,368,1.8
South Wales Police,South-Wales,5,2024,20252,8.61,4,17821,88,1892,9.3,539,2.7
South Yorkshire Police,South-Yorkshire,5,2024,23487,8.52,5,19670,83.7,3579,15.2,238,1
Staffordshire Police,Staffordshire,5,2024,19185,15.01,5,15663,81.6,2243,11.7,1279,6.7
Suffolk Constabulary,Suffolk,5,2024,9524,9.05,5,8596,90.3,711,7.5,217,2.3
Surrey Police,Surrey,5,2024,13811,8.91,5,12155,88,1399,10.1,257,1.9
Sussex Police,Sussex,5,2024,24236,5.44,4,22910,94.5,1195,4.9,131,0.5
Thames Valley Police,Thames-Valley,5,2024,32491,11.44,7,26756,82.3,5012,15.4,723,2.2
Warwickshire Police,Warwickshire,5,2024,8780,9.74,7,7428,84.6,1272,14.5,80,0.9
West Mercia Police,West-Mercia,5,2024,15361,15.75,8,11511,74.9,3028,19.7,822,5.4
West Midlands police,West-Midlands,5,2024,66271,7.85,6,58316,88,7603,11.5,352,0.5
West Yorkshire Police,West-Yorkshire,5,2024,43795,6.24,4,38916,88.9,4732,10.8,147,0.3
Wiltshire Police,Wiltshire,5,2024,8663,14.63,5,6760,78,1398,16.1,505,5.8
Avon and Somerset Constabulary,Avon-and-Somerset,6,2024,28516,12.7,4,22779,79.9,4423,15.5,1314,4.6
Bedfordshire Police,Bedfordshire,6,2024,10679,10.43,4,9329,87.4,907,8.5,443,4.1
Cambridgeshire Constabulary,Cambridgeshire,6,2024,12686,7.86,4,11392,89.8,1038,8.2,256,2
Cheshire Constabulary,Cheshire,6,2024,12438,9.08,5,10837,87.1,1310,10.5,291,2.3
Cleveland Police,Cleveland,6,2024,9747,8.39,6,8127,83.4,1538,15.8,82,0.8
Cumbria Constabulary,Cumbria,6,2024,6294,8.12,6,5573,88.5,703,11.2,18,0.3
Derbyshire Constabulary,Derbyshire,6,2024,15031,7.48,6,11851,78.8,3171,21.1,9,0.1
Devon & Cornwall Police,Devon-and-Cornwall,6,2024,26690,11.78,7,22165,83,3785,14.2,740,2.8
Dorset Police,Dorset,6,2024,11450,13.6,7,9346,81.6,1616,14.1,488,4.3
Durham Constabulary,Durham,6,2024,8558,13.86,8,6479,75.7,1730,20.2,349,4.1
Dyfed-Powys Police,Dyfed-Powys,6,2024,5240,8.2,4,4362,83.2,806,15.4,72,1.4
Essex Police,Essex,6,2024,27410,14.3,4,21262,77.6,4446,16.2,1702,6.2
Gloucestershire Constabulary,Gloucestershire,6,2024,7477,8.81,6,6207,83,1222,16.3,48,0.6
Greater Manchester Police,Greater-Manchester,6,2024,49619,7.42,4,44898,90.5,3924,7.9,797,1.6
Gwent Police,Gwent,6,2024,7595,6.71,4,7075,93.2,427,5.6,93,1.2
Hampshire Constabulary,Hampshire,6,2024,25341,11.11,7,21114,83.3,3640,14.4,587,2.3
Hertfordshire Constabulary,Hertfordshire,6,2024,15594,12.49,5,12066,77.4,2944,18.9,584,3.7
Humberside Police,Humberside,6,2024,12980,5.9,4,12171,93.8,769,5.9,40,0.3
Kent Police,Kent,6,2024,28963,5.8,4,27017,93.3,1796,6.2,150,0.5
Lancashire Constabulary,Lancashire,6,2024,24041,9.15,7,20646,85.9,3191,13.3,204,0.8
Leicestershire Police,Leicestershire,6,2024,16555,6.87,4,15488,93.6,818,4.9,249,1.5
Lincolnshire Police,Lincolnshire,6,2024,9324,4.73,3,8833,94.7,461,4.9,30,0.3
Merseyside Police,Merseyside,6,2024,23137,6.3,4,20856,90.1,2112,9.1,169,0.7
Metropolitan Police Service,Metropolitan,6,2024,194907,11.12,6,166874,85.6,22570,11.6,5463,2.8
Norfolk Constabulary,Norfolk,6,2024,11331,7.08,5,10030,88.5,1246,11,55,0.5
North Wales Police,North-Wales,6,2024,9502,7.45,4,7963,83.8,1449,15.2,90,0.9
North Yorkshire Police,North-Yorkshire,6,2024,9924,10.4,7,8159,82.2,1648,16.6,117,1.2
Northamptonshire Police,Northamptonshire,6,2024,12185,6.03,4,11113,91.2,1022,8.4,50,0.4
Northumbria Police,Northumbria,6,2024,23837,12.26,6,20216,84.8,2651,11.1,970,4.1
Nottinghamshire Police,Nottinghamshire,6,2024,17751,8.84,5,15496,87.3,1949,11,306,1.7
Police Scotland,Scotland,6,2024,63828,11.36,6,51732,81,10207,16,1889,3
Police Service of Northern Ireland,Northern-Ireland,6,2024,19492,10.46,6,15415,79.1,3627,18.6,450,2.3
South Wales Police,South-Wales,6,2024,19537,7.4,4,17404,89.1,1787,9.1,346,1.8
South Yorkshire Police,South-Yorkshire,6,2024,22570,8.69,5,19068,84.5,3238,14.3,264,1.2
Staffordshire Police,Staffordshire,6,2024,18514,16.17,5,14831,80.1,2295,12.4,1388,7.5
Suffolk Constabulary,Suffolk,6,2024,9523,9.3,5,8658,90.9,625,6.6,240,2.5
Surrey Police,Surrey,6,2024,13790,8.21,5,12344,89.5,1230,8.9,216,1.6
Sussex Police,Sussex,6,2024,24267,6.77,4,22269,91.8,1670,6.9,328,1.4
Thames Valley Police,Thames-Valley,6,2024,31847,10.84,7,26353,82.7,4954,15.6,540,1.7
Warwickshire Police,Warwickshire,6,2024,8674,10.05,7,7279,83.9,1316,15.2,79,0.9
West Mercia Police,West-Mercia,6,2024,15526,14.04,5,12642,81.4,1980,12.8,904,5.8
West Midlands police,West-Midlands,6,2024,65300,8.48,6,56438,86.4,8293,12.7,569,0.9
West Yorkshire Police,West-Yorkshire,6,2024,42353,6.3,4,37904,89.5,4255,10,194,0.5
Wiltshire Police,Wiltshire,6,2024,8827,15.91,7,6614,74.9,1709,19.4,504,5.7
Avon and Somerset Constabulary,Avon-and-Somerset,7,2024,29538,11.13,4,24470,82.8,4048,13.7,1020,3.5
Bedfordshire Police,Bedfordshire,7,2024,11201,14.55,4,9591,85.6,912,8.1,698,6.2
Cambridgeshire Constabulary,Cambridgeshire,7,2024,13683,6.3,4,12565,91.8,995,7.3,123,0.9
Cheshire Constabulary,Cheshire,7,2024,13442,8.68,5,11754,87.4,1468,10.9,220,1.6
Cleveland Police,Cleveland,7,2024,10041,8.45,5,8245,82.1,1706,17,90,0.9
Cumbria Constabulary,Cumbria,7,2024,6447,8.2,7,5682,88.1,747,11.6,18,0.3
Derbyshire Constabulary,Derbyshire,7,2024,15336,7.53,6,12204,79.6,3118,20.3,14,0.1
Devon & Cornwall Police,Devon-and-Cornwall,7,2024,28427,11.53,7,24578,86.5,2966,10.4,883,3.1
Dorset Police,Dorset,7,2024,12278,12.61,7,10269,83.6,1561,12.7,448,3.6
Durham Constabulary,Durham,7,2024,8984,13.95,8,6675,74.3,1946,21.7,363,4
Dyfed-Powys Police,Dyfed-Powys,7,2024,5958,9.15,4,4812,80.8,1027,17.2,119,2
Essex Police,Essex,7,2024,28925,11.52,4,23372,80.8,4328,15,1225,4.2
Gloucestershire Constabulary,Gloucestershire,7,2024,8257,8.82,6,6804,82.4,1375,16.7,78,0.9
