Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Police Service of Northern Ireland,Northern-Ireland,9,2023,21036,12.49,7,15951,75.8,4310,20.5,775,3.7
South Wales Police,South-Wales,9,2023,21641,12.65,4,16109,74.4,4515,20.9,1017,4.7
South Yorkshire Police,South-Yorkshire,9,2023,24492,9.85,5,20155,82.3,3871,15.8,466,1.9
Staffordshire Police,Staffordshire,9,2023,20112,16.31,5,16509,82.1,2147,10.7,1456,7.2
Suffolk Constabulary,Suffolk,9,2023,11052,14.4,5,9377,84.8,1083,9.8,592,5.4
Surrey Police,Surrey,9,2023,15284,17.14,7,11640,76.2,2664,17.4,980,6.4
Sussex Police,Sussex,9,2023,28205,12.65,8,21810,77.3,5693,20.2,702,2.5
Thames Valley Police,Thames-Valley,9,2023,35566,13.69,6,27235,76.6,6850,19.3,1481,4.2
Warwickshire Police,Warwickshire,9,2023,9422,12.3,8,7636,81,1575,16.7,211,2.2
West Mercia Police,West-Mercia,9,2023,17509,28.15,9,11292,64.5,3886,22.2,2331,13.3
West Midlands police,West-Midlands,9,2023,69723,10.36,6,58875,84.4,9149,13.1,1699,2.4
West Yorkshire Police,West-Yorkshire,9,2023,46266,7.29,4,39545,85.5,6385,13.8,336,0.7
Wiltshire Police,Wiltshire,9,2023,9300,22.98,8,6138,66,2204,23.7,958,10.3
Avon and Somerset Constabulary,Avon-and-Somerset,10,2023,28816,16.45,4,22081,76.6,4669,16.2,2066,7.2
Bedfordshire Police,Bedfordshire,10,2023,10885,21.32,4,8422,77.4,1331,12.2,1132,10.4
Cambridgeshire Constabulary,Cambridgeshire,10,2023,13060,19.04,4,9986,76.5,1917,14.7,1157,8.9
Cheshire Constabulary,Cheshire,10,2023,13314,9.7,6,11279,84.7,1754,13.2,281,2.1
Cleveland Police,Cleveland,10,2023,9631,7.03,4,8320,86.4,1245,12.9,66,0.7
Cumbria Constabulary,Cumbria,10,2023,5892,7.85,6,5203,88.3,672,11.4,17,0.3
Derbyshire Constabulary,Derbyshire,10,2023,15504,8.3,7,11113,71.7,4369,28.2,22,0.1
Devon & Cornwall Police,Devon-and-Cornwall,10,2023,26157,15.59,8,19824,75.8,4927,18.8,1406,5.4
Dorset Police,Dorset,10,2023,10849,16.15,8,7621,70.2,2814,25.9,414,3.8
Durham Constabulary,Durham,10,2023,8524,13.52,8,6517,76.5,1676,19.7,331,3.9
Dyfed-Powys Police,Dyfed-Powys,10,2023,5517,8.83,4,4518,81.9,901,16.3,98,1.8
Essex Police,Essex,10,2023,27521,13.03,6,22011,80,4347,15.8,1163,4.2
Gloucestershire Constabulary,Gloucestershire,10,2023,8121,10.28,6,6494,80,1494,18.4,133,1.6
Greater Manchester Police,Greater-Manchester,10,2023,51097,8.29,4,44990,88,5037,9.9,1070,2.1
Gwent Police,Gwent,10,2023,7895,6.93,5,7151,90.6,702,8.9,42,0.5
Hampshire Constabulary,Hampshire,10,2023,26418,14.39,7,20694,78.3,4488,17,1236,4.7
Hertfordshire Constabulary,Hertfordshire,10,2023,16551,11.89,5,12733,76.9,3279,19.8,539,3.3
Humberside Police,Humberside,10,2023,14021,9.51,5,11616,82.8,2148,15.3,257,1.8
Kent Police,Kent,10,2023,29045,12.75,5,22631,77.9,5155,17.7,1259,4.3
Lancashire Constabulary,Lancashire,10,2023,25370,9.91,8,21497,84.7,3623,14.3,250,1
Leicestershire Police,Leicestershire,10,2023,18460,13.38,4,15942,86.4,1511,8.2,1007,5.5
Lincolnshire Police,Lincolnshire,10,2023,10154,7.76,4,8884,87.5,1101,10.8,169,1.7
Merseyside Police,Merseyside,10,2023,27098,12.94,4,21639,79.9,3999,14.8,1460,5.4
Metropolitan Police Service,Metropolitan,10,2023,203965,11.29,6,176501,86.5,22026,10.8,5438,2.7
Norfolk Constabulary,Norfolk,10,2023,10939,7.36,5,9506,86.9,1373,12.6,60,0.5
North Wales Police,North-Wales,10,2023,9403,7.52,4,7726,82.2,1596,17,81,0.9
North Yorkshire Police,North-Yorkshire,10,2023,9222,10.72,7,7514,81.5,1570,17,138,1.5
Northamptonshire Police,Northamptonshire,10,2023,12213,7.1,4,10540,86.3,1600,13.1,73,0.6
Northumbria Police,Northumbria,10,2023,25287,11.37,7,21237,84,3343,13.2,707,2.8
Nottinghamshire Police,Nottinghamshire,10,2023,18290,9.89,6,15449,84.5,2524,13.8,317,1.7
Police Scotland,Scotland,10,2023,63724,9.75,5,53958,84.7,8396,13.2,1370,2.1
Police Service of Northern Ireland,Northern-Ireland,10,2023,20247,11.28,7,15326,75.7,4399,21.7,522,2.6
